Wolof,ajami
ndank,ندانك
mooy,مووي
japp,جاپپ
golo,گولو
ci,چي
ñaay,ڽااي
nit,نيت
nitay,نيتاي
garabam,گارابام
ku,كو
muñ,موڽ
muuñ,مووڽ
lu,لو
jot,جوت
yomb,يومب
dëgg,دێگگ
la,لا
kaddoo,كاددوو
du,دو
ko,كو
soppi,سوپپي
xale,خالە
bu,بو
rëy,رێي
bopp,بوپ
dëkk,دێكك
ak,اك
kër,كەر
bëgg,بێگگ
lem,لەم
fexeel,فەخەەل
ba,با
duma,دوما
nax,ناخ
borom,بوروم
bët,بێت
xool,خوول
li,لي
neex,نەەخ
rekk,رەكك
yalla,ياللا
ndogalam,ندوگالام
jëfam,جێفام
kanam,كانام
rawee,راوەە
loxalay,لوخالاي
akara,اكارا
danga,داڠا
am,ام
kaani,كااني
xar,خار
mu,مو
mën,مێن
a,ا
dagg,داگگ
dëj,دێج
jox,جوخ
sa,سا
xalis,خاليس
tàyyi,تاييي
suuf,سووف
su,سو
neexul,نەەخول
keneen,كەنەەن
fa,فا
bëre,بێرە
pare,پارە
lañuy,لاڽوي
waxee,واخەە
tàkk,تاكك
gën,گێن
gisnane,گيسنانە
ragal,راگال
géej,گێەج
lekk,لەكك
jën,جێن
ndawal,نداوال
cin,چين
amul,امول
loxo,لوخو
xam,خام
na,نا
may,ماي
dara,دارا
yàlla,الله
nangu,ناڠو
ñaanu,ڽاانو
nekkul,نەككول
mag,ماگ
mat,مات
baax,بااخ
yab,ياب
doom,دووم
xamul,خامول
xol,خول
lépp,لێپپ
di,دي
faj,فاج
soxla,سوخلا
jambat,جامبات
mmaa,مماا
ngi,ڠي
fi,في
sànt,سانت
naka,ناكا
wa,وا
ñu,ڽُ
naan,ناان
dundal,دوندال
dama,داما
dem,دەم
dakar,داكار
léégi,لێێگي
ma,ما
ndox,ندوخ
mi,مي
yi,يي
dañuy,داڽوي
jàng,جاڠ
tey,تەي
ekool,ەكوول
bi,بي
fii,فيي
te,تە
laay,لااي
liggéeye,ليگگێەيە
waa,واا
gi,گي
lay,لاي
nuyu,نويو
jënd,جێند
simis,سيميس
weex,وەەخ
nox,نوخ
nga,ڠا
ne,نە
amee,امەە
xaalis,خااليس
dinaa,ديناا
liggéey,ليگگێەي
metti,مەتتي
waaye,واايە
naa,ناا
jàmm,جامم
sama,ساما
def,دەف
ñaaw,ڽااو
alarba,الاربا
suba,سوبا
alxamis,الخاميس
ndax,نداخ
maa,ماا
marse,مارسە
ay,اي
jërejëf,جەرەجەف
ndimbal,نديمبال
dangeen,داڠەەن
buleen,بولەەن
fatte,فاتتە
seen,سەەن
réer,رێەر
sonn,سونن
ñuul,ڽوول
laa,لاا
daanu,داانو
tee,تەە
yegg,يەگگ
soobee,سووبەە
ñoo,ڽوو
bokk,بوكك
jàpp,جاپپ
sagu,ساگو
doomi,دوومي
aadama,ااداما
sañ,ساڽ
sañam,ساڽام
yépp,يێپپ
dañu,داڽو
yam,يام
kenn,كەنن
mënukóo,مێنوكۆو
jalgati,جالگاتي
nekk,نەكك
cës,چێس
taxufeex,تاخوفەەخ
mbirum,مبيروم
àtte,اتتە
biir,بيير
àdduna,اددونا
ñakk,ڽاكك
soofantal,سووفانتال
sañi,ساڽي
indi,يندي
aymusiba,ايموسيبا
yu,يو
tar,تار
tax,تاخ
képp,كێپپ
kuy,كوي
dund,دوند
fippu,فيپپو
temano,تەمانو
egsi,ەگسي
wax,واخ
xalaat,خالاات
coobare,چووبارە
bundxatal,بوندخاتال
nàkk,ناكك
dëddu,دێددو
leen,لەەن
solo,سولو
lool,لوول
aar,اار
doomu,دوومو
matukaay,ماتوكااي
wàllu,واللو
yoon,يوون
ngir,ڠير
moomu,موومو
sonal,سونال
muy,موي
nootaange,نووتااڠە
koy,كوي
bunduxatal,بوندوخاتال
góor,گۆور
goorlu,گوورلو
rataxal,راتاخال
jokkalante,جوككالانتە
diggante,ديگگانتە
xeet,خەەت
bataaxal,باتااخال
boobule,بووبولە
mbootaayu,مبووتاايو
yeesalaat,يەەسالاات
pas,پاس
pasam,پاسام
jëme,جێمە
sani,ساني
tolloo,توللوو
sag,ساگ
bir,بير
aju,اجو
dundin,دوندين
jigéen,جيگێەن
tawfeex,تاوفەەخ
gu,گو
yaa,ياا
réew,رێەو
jël,جێل
nañu,ناڽو
dëgëral,دێگێرال
naw,ناو
it,يت
sann,سانن
wóor,وۆور
ànd,اند
taxawal,تاخاوال
yeek,يەەك
darajaal,داراجاال
yooyu,يوويو
ndaje,نداجە
biral,بيرال
bii,بيي
kurel,كورەل
xel,خەل
góorlu,گۆورلو
jaarale,جاارالە
lii,ليي
njàng,نجاڠ
