id,expected,predicted,category,operations
1,يااكااراتوڽوو,يااكااراتوڽوڽوو,Duplication / répétition,insert | insert
2,ڽەنەەنتي,ڽەنەەتتي,Substitution,replace
3,گێرێمەە,گێرێەە,Suppression,delete
4,"چيگ رێەر, نداختە خامولەەن مبيند مي مباا كاتتانو ياللا.","چيگ رێەر, نداختە خامولەەن مبيند مي مباا كاتتا.",Suppression,delete
5,"واايە سو ڠەەن دي لااج لەنەەن, مبوولووم دێگگ دينا كو اتتە.","واايە سو ڠەەن دي لااج لەنەەن, مبوولووم دێگگ ديڠا كو اتتە.",Substitution,replace
6,"سەنەسارەت. مبوولوو ما وێر كو, دي بووخانتە ڠير دێگلو كاددوگ ياللا.","سەنەسارەت. مبوولوو ما وێر كو, دي بووخانتە ڠير دێگلو كادلو. داللا.",Erreur multiple / combinaison,insert | delete
7,فافادو,فافا,Suppression,delete
8,فادد,فافد,Erreur multiple / combinaison,insert | delete
9,"چا فوككي تااليبە يا اك ڽاار, موو كو ناروون ا وور.","چا فوككي تااليبە يا اك ڽاار, موو كو  ناروون ا وور.",Ponctuation,insert
10,دااجوڽو,دااوو,Suppression,delete | delete
11,"«ساڠ بي, ياو سێتو دااوودا بي, يێرێم نو!»","سساڠ بي, ياو سێتو دااوودا بي, يێرێم نو!»",Substitution,replace
12,"بووري اددينا داڽوو بوولوو,تە كيليفا يي داجالوو,دي","بووري اددينا داڽوو بوولوو,تە كيليفا يي داجالوو,ددي",Insertion,insert
13,يوويو يێپپ?— مووم لا بورووم بي دوون واخ.”,يوويو يێپپ? مووم لا بورووم بي دوون واخ.”,Ponctuation,delete
14,"نە يەەسو مووي الماسي بي, ڽو داق لا چا جاڠو با.","نە يەەسو مووي الماسي بي, ڽو داق لا چاڠج با.",Erreur multiple / combinaison,replace | delete
15,"«واايە يێەن باركەەل ڠەەن, نداختە سەەني بێت","ووايە يێەن باركەەل ڠەەن, نداختە سەەني بێت",Erreur multiple / combinaison,delete | replace
16,"جانت بي دينا دالدي لێندێم,وەەر وي دەرەتال,بالا","جانت بي دينا دالدي لێندێم,ووەەر وي دەرەتال,بالا",Insertion,insert
17,"ڽو لاال چاتي مبوببام رەكك, تە كو كو لاال دالدي وێر.","ڽو لاال چاتي مبوببام رەكك, تە كو كا لاال دالدي وێر.",Substitution,replace
18,تيڤاووانە مووي دێكك بو جامم,تيفاووانە مووي دێكك بو جامم,Substitution,replace
19,سەەدەلوو,سەەدوو,Suppression,delete
20,لوولوو تاخ وااجور يا نە: «لااجلەەن كو; ماگوم جێمم لا.»,لوولوو تاخ وااجور يا نە: «لااجلەەن كو; ماگوم جێمم لێ.م مام»,Erreur multiple / combinaison,insert | replace
21,بيندلەەن,بيلدەەن,Erreur multiple / combinaison,replace | delete
22,"يسراييل, دێگلول! ياللا سونو بورووم مووم رەكك مووي بوور.","يسراييل, دێگلول! ياللا سونو بووم رەكك مووي بووي بووي بووي بووي.",Erreur multiple / combinaison,delete | replace
23,نداخ خاماگولەەن با تەي? خاناا فاتتاليكووولەەن جورۆومي,نداخ خاماگولەەن با تەي? خاناا فاتتاليكوووولوەو ديرۆومي,Duplication / répétition,insert | insert | replace | replace
24,نيرێلەەل,نيرێەل,Suppression,delete
25,"تەندەەفال. مو نە لەەن: “لو تاخ ڠەەن يەندوو تەندەەفال, تە ليگگێەييوولەەن?”",تەندەەفال. مو نە لەەن: “لو تاخ ڠەەن يەندوو تەندوو تەندەوف دەەلي وولەەن?”,Erreur multiple / combinaison,replace | insert | insert | replace
26,"بي ماريااما دێگگەە لوولو, مو دالدي جۆگ, گااوانتوو دەم چا يەەسو.","بي ماريااما دێگگەە لوولو, مو دالدي جۆگ, گااوانتوو دەم چا يەەسو. دەم چا يەەسو. دەم چا يەەسو. دەم چا ",Insertion,insert
27,دەمونو,دەمو,Suppression,delete
28,"«يەەسو, كيليفا گي, يێرێم نو!»","ييەەسو, كيليفا گي, يێرێم نو!»",Substitution,replace
29,دانوي,دايو,Erreur multiple / combinaison,replace | delete
