Ajami,Wolof_attendu,Wolof_predit,categorie_audit
فاريسەن يي لااج يەەسو نە كو: «كاڽ,Farisen yi laaj Yeesu ne ko: «Kañ,farisen yi laaj Yeesu ne ko: «Kañ,Casse uniquement
"نوونو مو فاب كااس, دالدي سانت ياللا","Noonu mu fab kaas, daldi sant Yàlla","Noonu mu fab kaas, daldi sant yàlla",Casse uniquement
دێپپ,dëpp,dépp,Diacritique uniquement
"كو نەكك چي توول بي, بول ڽيببي ڠير فاب سا مبوبب.","Ku nekk ci tool bi, bul ñibbi ngir fab sa mbubb.","wu nekk ci tool bi, bul ñibbi ngir fab sa mbubb.",Erreur linguistique / structurelle
چێرام,cëram,céram,Diacritique uniquement
"كو, باييي كو مو دەم.»","ko, bàyyi ko mu dem.»","ko, bayyi ko mu dem.»",Diacritique uniquement
نداختە بيند ناڽو: «كێپپ كو ووو بورووم,Ndaxte bind nañu: «Képp ku woo Boroom,Ndaxte bind nañu: «Képp ku woo boroom,Casse uniquement
يوونو موساا داال دو دەف لو دول,Yoonu Musaa daal du def lu dul,yoonu Musaa daal du def lu dul,Casse uniquement
"خارەكات يا دي واخانتە ناان: «مبوبب مي,","Xarekat ya di waxante naan: «Mbubb mi,","xarekat ya di waxante naan: «Mbubb mi,",Casse uniquement
"بي ڽو اگسەە چي يەەسو, دامموڽو اي","Bi ñu agsee ci Yeesu, dammuñu ay","Bi ñu agsee ci Yeesu, dàmmuñu ay",Diacritique uniquement
"كو نيي: دافا يۆنني دوومام, ڠير مو","ko nii: dafa yónni Doomam, ngir mu","ku nii: dafa yónni doomam, ngir mu",Erreur linguistique / structurelle
"ەگگ دييواانو سەنەسارەت, ڽو تەەر فا,","egg diiwaanu Senesaret, ñu teer fa,","Egg diiwaanu Senesaret, ñu teer fa,",Casse uniquement
"گاننااو ليدد سورەوول اك يوپە ناگ, تە","Gannaaw Lidd sorewul ak Yope nag, te","Gannaaw lidd Surewul ak yope nag, te",Erreur linguistique / structurelle
ناكا سا مبوكك.,Naka sa mbokk.,naka sa mbokk.,Casse uniquement
"چي كاو, دو ساخ دووم جي, واايە","ci kaw, du sax Doom ji, waaye","ci kaw, du sax doom ji, waaye",Casse uniquement
دێگگال,dëggal,déggal,Diacritique uniquement
گێرێمەە,gërëmee,ërërëmee,Erreur linguistique / structurelle
"كو گێن ا خاملە, ڠير مبێگگەەل, گي","ko gën a xamle, ngir mbëggeel, gi","ku gën a xamle, ngir mbéggeel, gi",Erreur linguistique / structurelle
واايە نون مێنونوو باڽ ا واخ لي,Waaye nun mënunoo bañ a wax li,Waaye nun mënunuoo bañ a wax li,Erreur linguistique / structurelle
"ڽو سانني ناتتوكااي با چي بيير گێەج,","Ñu sànni nattukaay ba ci biir géej,","Ñu sanni nattukaay ba ci biir géej,",Diacritique uniquement
"چي وەتو توندو وليو يا. نوونو يەەسو يەبال ڽااري تااليبە,","ci wetu tundu Oliw ya. Noonu Yeesu yebal ñaari taalibe,","ci wetu tundu Oliw ya. Noonu Yeesu yebalibe,",Erreur linguistique / structurelle
"لي, لااج كو, نداخ ياگگ نا فااتو.","li, laaj ko, ndax yàgg na faatu.","li, laaj ko, ndax yagg na faatu.",Diacritique uniquement
سا بااي بي بێت مێنتا گيس. نوونو,sa Baay bi bët mënta gis. Noonu,sa baay bi bët mënta gis. Noonu,Casse uniquement
فاتت,fatt,fàtt,Diacritique uniquement
"توپپ, واايە ماي ما, ما جێكك ا تاگگوجي ساما واا كێر.»","topp, waaye may ma, ma jëkk a tàgguji sama waa kër.»","wopp, waaye may ma, ma jëkk a tagguji sama wér.»",Erreur linguistique / structurelle
چي كاو لوولو يەەسو واخ نجييت لا,Ci kaw loolu Yeesu wax njiit la,ci kaw loolu Yeesu wax njiit la,Casse uniquement
بو لەەن كەنن لااجەە: “لو تاخ ڠەەن,Bu leen kenn laajee: “Lu tax ngeen,bu leen kenn laajee: “Lu tax ngeen,Casse uniquement
