id,Ajami,Wolof_attendu,Wolof_predit,category,operations
1,فاريسەن يي لااج يەەسو نە كو: «كاڽ,Farisen yi laaj Yeesu ne ko: «Kañ,farisen yi laaj Yeesu ne ko: «Kañ,Majuscule / minuscule,replace
2,"نوونو مو فاب كااس, دالدي سانت ياللا","Noonu mu fab kaas, daldi sant Yàlla","Noonu mu fab kaas, daldi sant yàlla",Majuscule / minuscule,replace
3,دێپپ,dëpp,dépp,Diacritique / accent,replace
4,"كو نەكك چي توول بي, بول ڽيببي ڠير فاب سا مبوبب.","Ku nekk ci tool bi, bul ñibbi ngir fab sa mbubb.","wu nekk ci tool bi, bul ñibbi ngir fab sa mbubb.",Substitution,replace
5,چێرام,cëram,céram,Diacritique / accent,replace
6,"كو, باييي كو مو دەم.»","ko, bàyyi ko mu dem.»","ko, bayyi ko mu dem.»",Diacritique / accent,replace
7,نداختە بيند ناڽو: «كێپپ كو ووو بورووم,Ndaxte bind nañu: «Képp ku woo Boroom,Ndaxte bind nañu: «Képp ku woo boroom,Majuscule / minuscule,replace
8,يوونو موساا داال دو دەف لو دول,Yoonu Musaa daal du def lu dul,yoonu Musaa daal du def lu dul,Majuscule / minuscule,replace
9,"خارەكات يا دي واخانتە ناان: «مبوبب مي,","Xarekat ya di waxante naan: «Mbubb mi,","xarekat ya di waxante naan: «Mbubb mi,",Majuscule / minuscule,replace
10,"بي ڽو اگسەە چي يەەسو, دامموڽو اي","Bi ñu agsee ci Yeesu, dammuñu ay","Bi ñu agsee ci Yeesu, dàmmuñu ay",Diacritique / accent,replace
11,"كو نيي: دافا يۆنني دوومام, ڠير مو","ko nii: dafa yónni Doomam, ngir mu","ku nii: dafa yónni doomam, ngir mu",Substitution,replace | replace
12,"ەگگ دييواانو سەنەسارەت, ڽو تەەر فا,","egg diiwaanu Senesaret, ñu teer fa,","Egg diiwaanu Senesaret, ñu teer fa,",Majuscule / minuscule,replace
13,"گاننااو ليدد سورەوول اك يوپە ناگ, تە","Gannaaw Lidd sorewul ak Yope nag, te","Gannaaw lidd Surewul ak yope nag, te",Substitution,replace | replace | replace
14,ناكا سا مبوكك.,Naka sa mbokk.,naka sa mbokk.,Majuscule / minuscule,replace
15,"چي كاو, دو ساخ دووم جي, واايە","ci kaw, du sax Doom ji, waaye","ci kaw, du sax doom ji, waaye",Majuscule / minuscule,replace
16,دێگگال,dëggal,déggal,Diacritique / accent,replace
17,گێرێمەە,gërëmee,ërërëmee,Duplication / répétition,replace
18,"كو گێن ا خاملە, ڠير مبێگگەەل, گي","ko gën a xamle, ngir mbëggeel, gi","ku gën a xamle, ngir mbéggeel, gi",Substitution,replace | replace
19,واايە نون مێنونوو باڽ ا واخ لي,Waaye nun mënunoo bañ a wax li,Waaye nun mënunuoo bañ a wax li,Duplication / répétition,insert
20,"ڽو سانني ناتتوكااي با چي بيير گێەج,","Ñu sànni nattukaay ba ci biir géej,","Ñu sanni nattukaay ba ci biir géej,",Diacritique / accent,replace
21,"چي وەتو توندو وليو يا. نوونو يەەسو يەبال ڽااري تااليبە,","ci wetu tundu Oliw ya. Noonu Yeesu yebal ñaari taalibe,","ci wetu tundu Oliw ya. Noonu Yeesu yebalibe,",Suppression,delete
22,"لي, لااج كو, نداخ ياگگ نا فااتو.","li, laaj ko, ndax yàgg na faatu.","li, laaj ko, ndax yagg na faatu.",Diacritique / accent,replace
23,سا بااي بي بێت مێنتا گيس. نوونو,sa Baay bi bët mënta gis. Noonu,sa baay bi bët mënta gis. Noonu,Majuscule / minuscule,replace
24,فاتت,fatt,fàtt,Diacritique / accent,replace
25,"توپپ, واايە ماي ما, ما جێكك ا تاگگوجي ساما واا كێر.»","topp, waaye may ma, ma jëkk a tàgguji sama waa kër.»","wopp, waaye may ma, ma jëkk a tagguji sama wér.»",Substitution,replace | replace | replace
26,چي كاو لوولو يەەسو واخ نجييت لا,Ci kaw loolu Yeesu wax njiit la,ci kaw loolu Yeesu wax njiit la,Majuscule / minuscule,replace
27,بو لەەن كەنن لااجەە: “لو تاخ ڠەەن,Bu leen kenn laajee: “Lu tax ngeen,bu leen kenn laajee: “Lu tax ngeen,Majuscule / minuscule,replace
28,ساا سا لو موي تەككي; واايە گاننااو,saa sa lu muy tekki; waaye gannaaw,saa sa lu muy tekki; waaye gànnaaw,Diacritique / accent,replace
29,واايە ياللا واخ كو نە:«يانقۆوبا راكك جي,Waaye Yàlla wax ko ne:«Yanqóoba rakk ji,Waaye Yàlla wax ku ne:«Yànqóoba rakk ji,Substitution,replace | replace
30,خاججالەووڽو,xàjjalewuñu,xajjalewuñu,Diacritique / accent,replace
31,"كو با نوپپي, واايە گێمولەەن. جێف يي","ko ba noppi, waaye gëmuleen. Jëf yi","ku ba noppi, waaye gëmuleen. Jëf yi",Substitution,replace
32,"كو تونتو: “بو ما لاككال, تێج ناا","ko tontu: “Bu ma lakkal, tëj naa","ku tontu: “Bu ma lakkal, tëj naa",Substitution,replace
33,ياا ڠي دوخ چي ێچولە بي,Yaa ngi dox ci école bi,yaa ngi dox ci école bi,Majuscule / minuscule,replace
34,گێوانتاگول,géwantagul,gëwantagul,Diacritique / accent,replace
35,"مو گومبا تە لوو. يەەسو فاج كو,","mu gumba te luu. Yeesu faj ko,","mu gumba te loo. Yeesu faj ko,",Substitution,replace
36,"كو فا; فەكك مووم فاس نا يێەنەي دوخ, با اگسي فا.","ko fa; fekk moom fas na yéeney dox, ba agsi fa.","ku fa; fekk moom fas na yéeney dox, ba agsi fa.",Substitution,replace
37,"ڽو ناان: «نداخ كيي دو يەەسو, دوومو","Ñu naan: «Ndax kii du Yeesu, doomu","Ñu naan: «Ndax kiy du Yeesu, doomu",Substitution,replace
38,گەنت,gent,eent,Duplication / répétition,replace
39,كو گێرێم. فەكك نيتو ساماري لا ووون.,ko gërëm. Fekk nitu Samari la woon.,ko gërëm. Fekk nitu samari la woon.,Majuscule / minuscule,replace
40,"لا يێككاتي بو كاوە? دێەدێەت, دەەس نا","la yékkati bu kawe? Déedéet, dees na","la yékkati bu kawe? déedéet, dees na",Majuscule / minuscule,replace
41,ناساراان,nasaraan,aasaan,Erreur multiple / combinaison,replace | delete
42,بورووم توول با نە جاوريڽ جا: “ووووال,boroom tool ba ne jawriñ ja: “Woowal,Boroom tool ba ne jawriñ ja: “Wowuwal,Substitution,replace | replace
43,نديير,ndiir,Nddir,Erreur multiple / combinaison,replace | delete
44,"موو تاخ ناڠوونتەلەەن, باي ماگگال ياللا, ني لەەن كيريست ناڠوو.","Moo tax nangoonteleen, bay màggal Yàlla, ni leen Kirist nangoo.","moo tax nangoonteleen, bay màggal Yàlla, ni leen kiristi Karoo.",Erreur multiple / combinaison,replace | replace | insert | replace | replace
45,ياللاا,yàllaa,Yàllaa,Majuscule / minuscule,replace
46,رێچچو,réccu,rëccu,Diacritique / accent,replace
47,فاسانتەە,fasantee,Fasantee,Majuscule / minuscule,replace
48,يااك,yaak,aak,Suppression,delete
49,تە بي مو رێچچەە چا گێەج گا,te bi mu rëccee ca géej ga,Te bi mu rëccee ca géej ga,Majuscule / minuscule,replace
50,"دينا كو دۆور اي يار يو مەتتي,","Dina ko dóor ay yar yu metti,","dina ko dóor ay yar yu metti,",Majuscule / minuscule,replace
51,"ناس, بي ياللا دوگالوون تە خام كو","nas, bi Yàlla dogaloon te xam ko","nas, bi Yàlla dugaloon te xam ku",Substitution,replace | replace
52,"چي جامونو جووجو ماريااما جۆگ, گااوانتو دەم","Ci jamono jooju Maryaama jóg, gaawantu dem","ci jamono jooju Maryaama jóg, gaawantu dem",Majuscule / minuscule,replace
53,"چيگ رێەر, نداختە خامولەەن مبيند مي مباا كاتتانو ياللا.","cig réer, ndaxte xamuleen Mbind mi mbaa kàttanu Yàlla.","cig réer, ndaxte xamuleen mbind mi mbaa kattanu Yàlla.",Diacritique / accent,replace | replace
54,"با مەل نيي خالە, دوڠەەن دوگگ موكك","ba mel niy xale, dungeen dugg mukk","ba mel nii xale, dungeen dugg mukk",Substitution,replace
55,نەەن لا; فو نوي جێلە لو دوي ڠير دوندال لەەن?»,neen la; fu nuy jële lu doy ngir dundal leen?»,yeen la; fu nuy jële lu duy ngir dundal leen?»,Substitution,replace | replace
56,"گاننااو لوولو يەەسو گێنناات, او بوورو دەخ","Gannaaw loolu Yeesu génnaat, aw booru dex","gannaaw loolu Yeesu génnaat, aw buuru dex",Substitution,replace | replace
57,"فيير? ينديل-لەەن ما پوسەتو دەنارييون, ما سەەت.»","fiir? Indil-leen ma posetu denariyon, ma seet.»","yiir? Indil-leen ma posetu denariyon, ma seet.»",Substitution,replace
58,"فااتو لێەگي, واايە ڽێوال, تەگ كو ساي لوخو, تە دينا دونداات.»","faatu léegi, waaye ñëwal, teg ko say loxo, te dina dundaat.»","yaatu léegi, waaye ñëwal, teg ko say luxu, te dina dundaat.»",Substitution,replace | replace | replace
59,كێر گي ام نا بونتو بو ماگ.,Kër gi am na buntu bu mag.,kër gi am na buntu bu mag.,Majuscule / minuscule,replace
60,بيرالەە,biralee,Iiralee,Substitution,replace
61,"لەەن جاارالە; ييو وي اك دێگگ گي,","leen jaarale; yiw wi ak dëgg gi,","leen jaarale; yiw wi ak dégg gi,",Diacritique / accent,replace
