Wolof,Ajami_attendu,Ajami_predit,Insertions,Suppressions,Substitutions,Distance_edition
"ci wetu tundu Oliw ya. Noonu Yeesu yebal ñaari taalibe,","چي وەتو توندو وليو يا. نوونو يەەسو يەبال ڽااري تااليبە,","چي وەتو توندو وليو يا. نوونو يەەسو يەبسل يا,را يااليبە,",0,0,5,5
"Moo tax nangoonteleen, bay màggal Yàlla, ni leen Kirist nangoo.","موو تاخ ناڠوونتەلەەن, باي ماگگال ياللا, ني لەەن كيريست ناڠوو.","موو تاخ ناڠوونتەلەەن, باي ماگگال ياللا, ني لەەن كيرلسيوس",0,5,3,8
"Gannaaw loolu Yeesu génnaat, aw booru dex","گاننااو لوولو يەەسو گێنناات, او بوورو دەخ","گاننااو لوولو يەەسو گەەسو گێنناات, او بوورو دەخ",6,0,0,6
"faatu léegi, waaye ñëwal, teg ko say loxo, te dina dundaat.»","فااتو لێەگي, واايە ڽێوال, تەگ كو ساي لوخو, تە دينا دونداات.»","فااتو لێەگي, واايە ڽێوال, تەگ كو ساي لوخو, تە دينا دوندا توندا توندا توندا توندا توندا توندا توندا ",39,0,2,41
"Waaye nes tuuti ngelaw lu wole penku,","واايە نەس تووتي ڠەلاو لو وولە پەنكو,","واايە نەس تووتي ڠەلاو لولوو لو وولە پەنكو,",6,0,0,6
"Senesaret. Mbooloo ma wër ko, di buuxante ngir déglu kàddug Yàlla.","سەنەسارەت. مبوولوو ما وێر كو, دي بووخانتە ڠير دێگلو كاددوگ ياللا.","سەنەسارەت. مبوولوو ما وێر كو, دي بووخانتە ڠير دێگلو كادلا.",0,7,0,7
Dingeen dégg ay xare ak coowi xare;,ديڠەەن دێگگ اي خارە اك چوووي خارە;,ديڠەەن دێگگ اي خارە اك چارە اك چوووي خارە;,8,0,0,8
"nanu ne, nattu day feddali muñ;","نانو نە, ناتتو داي فەددالي موڽ;","نانو نە, ناتتو دايت داددالي موڽ;",1,0,2,3
"Ci suba teel Yeesu dellusi ca dëkk ba, mu xiif.","چي سوبا تەەل يەەسو دەللوسي چا دێكك با, مو خييف.","چي سوبا تەەل يەەسو دەلسوسدەللوسي چا دێكك با, مو خييف.",6,0,0,6
"ñoom ngir mbugal leen, fekk ñépp di","ڽووم ڠير مبوگال لەەن, فەكك ڽێپپ دي","ڽووم ڠير مبوگال لەەن, فەكك ڽێكك ڽێپپ دي",5,0,0,5
yooyu yépp?— Moom la Boroom bi doon wax.”,يوويو يێپپ?— مووم لا بورووم بي دوون واخ.”,يوويو يێپپ?» مووم لا بورووم بي دوون واخ.”,0,0,1,1
"Bi mu waxee loolu, Yeesu woote ak","بي مو واخەە لوولو, يەەسو وووتە اك","بي مو واخەە لوولو, يەەسو وەەسو وووتە اك",6,0,0,6
"ma ñàkkee sama liggéey, ay nit fat ma.”","ما ڽاككەە ساما ليگگێەي, اي نيت فات ما.”","ما ڽاككەە ساما ليگگێەي, اي نيت فات مات ما. ",4,0,1,5
a nettali kenn ca jamono jooja la ñu gisoon.,ا نەتتالي كەنن چا جامونو جووجا لا ڽو گيسوون.,ا نەتتالي كەنن چا جامونو جووجا لا ڽو گيسوسن.,0,0,1,1
"ñu laal cati mbubbam rekk, te ku ko laal daldi wér.","ڽو لاال چاتي مبوببام رەكك, تە كو كو لاال دالدي وێر.","ڽو لاال چاتي مبوببام رەكك, تە كو كاال دالدي وێر.",0,3,0,3
"""Waaw, dama am mbégte.""","""وااو, داما ام مبێگتە.""","""وواا,, داما ام مبێگتە.""",1,0,1,2
Noonu ci guddi Yàlla feeñu Pool ci,نوونو چي گوددي ياللا فەەڽو پوول چي,نوونو چي گوددي ياللا فەەڽو پوەلو پوول چي,6,0,0,6
Tivaouane mooy dëkk bu jàmm,تيڤاووانە مووي دێكك بو جامم,تيواووانە مووي دێكك بو جامم,0,0,1,1
"""Waaw, dama am xel.""","""وااو, داما ام خەل.""","""وواو, داما ام خەل.""",0,0,1,1
Waaye ndegam dëgër nga bopp te bëgguloo,واايە ندەگام دێگێر ڠا بوپپ تە بێگگولوو,واايە ندەگام دێگێر نا بوپپ تە بێگگولوو,0,0,1,1
