confusion,attendu_caractere,predit_caractere,mot_attendu,mot_predit,position_dans_mot,position_caractere,phrase_attendue,phrase_predite,Ajami
o -> u,o,u,ko,ku,Fin du mot,1,"ko nii: dafa yónni Doomam, ngir mu","ku nii: dafa yónni doomam, ngir mu","كو نيي: دافا يۆنني دوومام, ڠير مو"
o -> u,o,u,sorewul,Surewul,Milieu du mot,1,"Gannaaw Lidd sorewul ak Yope nag, te","Gannaaw lidd Surewul ak yope nag, te","گاننااو ليدد سورەوول اك يوپە ناگ, تە"
o -> u,o,u,ko,ku,Fin du mot,1,"ko gën a xamle, ngir mbëggeel, gi","ku gën a xamle, ngir mbéggeel, gi","كو گێن ا خاملە, ڠير مبێگگەەل, گي"
o -> u,o,u,mënunoo,mënunuoo,Milieu du mot,5,Waaye nun mënunoo bañ a wax li,Waaye nun mënunuoo bañ a wax li,واايە نون مێنونوو باڽ ا واخ لي
o -> u,o,u,ko,ku,Fin du mot,1,Waaye Yàlla wax ko ne:«Yanqóoba rakk ji,Waaye Yàlla wax ku ne:«Yànqóoba rakk ji,واايە ياللا واخ كو نە:«يانقۆوبا راكك جي
o -> u,o,u,ko,ku,Fin du mot,1,"ko ba noppi, waaye gëmuleen. Jëf yi","ku ba noppi, waaye gëmuleen. Jëf yi","كو با نوپپي, واايە گێمولەەن. جێف يي"
o -> u,o,u,ko,ku,Fin du mot,1,"ko tontu: “Bu ma lakkal, tëj naa","ku tontu: “Bu ma lakkal, tëj naa","كو تونتو: “بو ما لاككال, تێج ناا"
u -> o,u,o,luu.,loo.,Milieu du mot,1,"mu gumba te luu. Yeesu faj ko,","mu gumba te loo. Yeesu faj ko,","مو گومبا تە لوو. يەەسو فاج كو,"
u -> o,u,o,luu.,loo.,Milieu du mot,2,"mu gumba te luu. Yeesu faj ko,","mu gumba te loo. Yeesu faj ko,","مو گومبا تە لوو. يەەسو فاج كو,"
o -> u,o,u,ko,ku,Fin du mot,1,"ko fa; fekk moom fas na yéeney dox, ba agsi fa.","ku fa; fekk moom fas na yéeney dox, ba agsi fa.","كو فا; فەكك مووم فاس نا يێەنەي دوخ, با اگسي فا."
i -> y,i,y,kii,kiy,Fin du mot,2,"Ñu naan: «Ndax kii du Yeesu, doomu","Ñu naan: «Ndax kiy du Yeesu, doomu","ڽو ناان: «نداخ كيي دو يەەسو, دوومو"
o -> u,o,u,dogaloon,dugaloon,Milieu du mot,1,"nas, bi Yàlla dogaloon te xam ko","nas, bi Yàlla dugaloon te xam ku","ناس, بي ياللا دوگالوون تە خام كو"
o -> u,o,u,ko,ku,Milieu du mot,1,"nas, bi Yàlla dogaloon te xam ko","nas, bi Yàlla dugaloon te xam ku","ناس, بي ياللا دوگالوون تە خام كو"
y -> i,y,i,niy,nii,Fin du mot,2,"ba mel niy xale, dungeen dugg mukk","ba mel nii xale, dungeen dugg mukk","با مەل نيي خالە, دوڠەەن دوگگ موكك"
o -> u,o,u,doy,duy,Milieu du mot,1,neen la; fu nuy jële lu doy ngir dundal leen?»,yeen la; fu nuy jële lu duy ngir dundal leen?»,نەەن لا; فو نوي جێلە لو دوي ڠير دوندال لەەن?»
o -> u,o,u,booru,buuru,Milieu du mot,1,"Gannaaw loolu Yeesu génnaat, aw booru dex","gannaaw loolu Yeesu génnaat, aw buuru dex","گاننااو لوولو يەەسو گێنناات, او بوورو دەخ"
o -> u,o,u,booru,buuru,Milieu du mot,2,"Gannaaw loolu Yeesu génnaat, aw booru dex","gannaaw loolu Yeesu génnaat, aw buuru dex","گاننااو لوولو يەەسو گێنناات, او بوورو دەخ"
o -> u,o,u,"loxo,","luxu,",Milieu du mot,1,"faatu léegi, waaye ñëwal, teg ko say loxo, te dina dundaat.»","yaatu léegi, waaye ñëwal, teg ko say luxu, te dina dundaat.»","فااتو لێەگي, واايە ڽێوال, تەگ كو ساي لوخو, تە دينا دونداات.»"
o -> u,o,u,"loxo,","luxu,",Milieu du mot,3,"faatu léegi, waaye ñëwal, teg ko say loxo, te dina dundaat.»","yaatu léegi, waaye ñëwal, teg ko say luxu, te dina dundaat.»","فااتو لێەگي, واايە ڽێوال, تەگ كو ساي لوخو, تە دينا دونداات.»"
u -> o,u,o,duy,doy,Milieu du mot,1,"Kirist? Xanaa duy nattu, te du njàqare,","kirist? Xanaa doy nattu, te du njàqare,","كيريست? خاناا دوي ناتتو, تە دو نجاقارە,"
u -> o,u,o,kumpa,kompa,Milieu du mot,1,"biral, mbaa luy kumpa lu ñu warul a siiwal.","yiral, mbaa luy kompa lu ñu warul a siiwal.","بيرال, مباا لوي كومپا لو ڽو وارول ا سييوال."
o -> u,o,u,ko,ku,Milieu du mot,1,ca bérab bu wéet. Waaye bi ko,ca bérab bu wéet. Waaye bi ku,چا بێراب بو وێەت. واايە بي كو
o -> u,o,u,ko,ku,Fin du mot,1,"ya, ngir ñu teeru ko teeru bu","ya, ngir ñu teeru ku teeru bu","يا, ڠير ڽو تەەرو كو تەەرو بو"
i -> y,i,y,nii,niy,Fin du mot,2,"nii ci yoon wi?» Noonu ñu taxaw, seen xol jeex.","niy ci yoon wi?» Noonu ñu taxaw, seex.","نيي چي يوون وي?» نوونو ڽو تاخاو, سەەن خول جەەخ."
